Calibration metrics:
x96: Cal. error 0.4880, RMSE 0.5338, R2 -10.1756
x97: Cal. error 0.4840, RMSE 0.5329, R2 -10.0649
x98: Cal. error 0.4840, RMSE 0.5352, R2 -10.0644
x99: Cal. error 0.4880, RMSE 0.5343, R2 -9.9158
x100: Cal. error 0.4880, RMSE 0.5368, R2 -9.9867
x101: Cal. error 0.4940, RMSE 0.5313, R2 -9.8546
x102: Cal. error 0.4940, RMSE 0.5377, R2 -9.9907
x103: Cal. error 0.5010, RMSE 0.5419, R2 -9.9904
x104: Cal. error 0.5050, RMSE 0.5454, R2 -10.0980
x105: Cal. error 0.5040, RMSE 0.5425, R2 -9.9222
x106: Cal. error 0.5010, RMSE 0.5436, R2 -9.8570
x107: Cal. error 0.5020, RMSE 0.5380, R2 -9.5390
x108: Cal. error 0.5020, RMSE 0.5342, R2 -9.3052
x109: Cal. error 0.4990, RMSE 0.5211, R2 -8.7929
x110: Cal. error 0.4970, RMSE 0.5097, R2 -8.3558
x111: Cal. error 0.4880, RMSE 0.4937, R2 -7.7786
x112: Cal. error 0.4850, RMSE 0.4795, R2 -7.3596
x113: Cal. error 0.4770, RMSE 0.4647, R2 -6.9168
x114: Cal. error 0.4740, RMSE 0.4573, R2 -6.7176
x115: Cal. error 0.4710, RMSE 0.4502, R2 -6.5267
x116: Cal. error 0.4650, RMSE 0.4465, R2 -6.4909
x117: Cal. error 0.4710, RMSE 0.4401, R2 -6.3246
x118: Cal. error 0.4670, RMSE 0.4377, R2 -6.2607
x119: Cal. error 0.4530, RMSE 0.4285, R2 -5.9731
x120: Cal. error 0.4320, RMSE 0.4179, R2 -5.6293
x121: Cal. error 0.4270, RMSE 0.4019, R2 -5.1380
x122: Cal. error 0.4150, RMSE 0.3892, R2 -4.7283
x123: Cal. error 0.4050, RMSE 0.3672, R2 -4.0659
x124: Cal. error 0.3990, RMSE 0.3414, R2 -3.3466
x125: Cal. error 0.3990, RMSE 0.3131, R2 -2.6265
x126: Cal. error 0.3920, RMSE 0.2877, R2 -2.0427
x127: Cal. error 0.4120, RMSE 0.2729, R2 -1.7153
x128: Cal. error 0.3780, RMSE 0.2199, R2 -0.5650
x129: Cal. error 0.3460, RMSE 0.2218, R2 -0.5119
x130: Cal. error 0.2390, RMSE 0.2263, R2 -0.4633
x131: Cal. error 0.1720, RMSE 0.2404, R2 -0.6218
x132: Cal. error 0.1880, RMSE 0.2969, R2 -1.4169
x133: Cal. error 0.1890, RMSE 0.3411, R2 -2.1542
x134: Cal. error 0.2070, RMSE 0.3760, R2 -2.7386
x135: Cal. error 0.2150, RMSE 0.3901, R2 -2.9522
x136: Cal. error 0.1890, RMSE 0.4007, R2 -3.3108
x137: Cal. error 0.1940, RMSE 0.4079, R2 -3.6043
x138: Cal. error 0.1970, RMSE 0.4161, R2 -3.9053
x139: Cal. error 0.1900, RMSE 0.4150, R2 -4.0032
x140: Cal. error 0.2110, RMSE 0.4117, R2 -4.1906
x141: Cal. error 0.2190, RMSE 0.4058, R2 -4.3604
x142: Cal. error 0.2430, RMSE 0.4063, R2 -4.6477
x143: Cal. error 0.2500, RMSE 0.4077, R2 -4.9041
x144: Cal. error 0.2530, RMSE 0.4129, R2 -5.2556
x145: Cal. error 0.2600, RMSE 0.4169, R2 -5.5542
x146: Cal. error 0.2790, RMSE 0.4244, R2 -5.9588
x147: Cal. error 0.2760, RMSE 0.4321, R2 -6.3197
x148: Cal. error 0.2840, RMSE 0.4430, R2 -6.8019
x149: Cal. error 0.2930, RMSE 0.4549, R2 -7.2342
x150: Cal. error 0.3070, RMSE 0.4751, R2 -7.8690
x151: Cal. error 0.3180, RMSE 0.4878, R2 -8.4457
x152: Cal. error 0.3270, RMSE 0.4938, R2 -9.0738
x153: Cal. error 0.3310, RMSE 0.5001, R2 -9.4067
x154: Cal. error 0.3420, RMSE 0.5159, R2 -9.7984
x155: Cal. error 0.3550, RMSE 0.5321, R2 -9.9902
x156: Cal. error 0.3900, RMSE 0.5609, R2 -10.3001
